Rank,bookTitle,Contents
1,역행자,"<역행자> 오타쿠 흙수저에서 월 1억 자동수익을 실현한 무자본 연쇄창업마,
라이프해커 자청의 인생 역주행 공식 대공개!
“절대 읽지 마라!
죽을 때까지 순리자로 살고 싶다면!”

운명과 본능의 지배에서 벗어나
경제적 자유와 행복한 인생을 쟁취하는 라이프해킹의 비밀

95퍼센트의 인간은 타고난 유전자와 본성의 꼭두각시로 살아간다. 그래서 평생 평범함을 벗어나지 못하고 불행하게 산다. 본성에 따라 결정된 인생을 사는 자, 이들은 ‘순리자’다. 그러나 5퍼센트의 인간은 다르다. 그들은 타고난 유전자와 본성을 역행해 경제적 자유와 행복을 쟁취한다. 이들이 바로 ‘역행자’다.
어느 날 혜성처럼 나타나 자수성가의 아이콘이 된 청년, 자기계발 유튜버 자청이 깨달은 인생의 치트기를 탈탈 털어 넣은 그의 첫 책 《역행자》가 5월 30일, 드디어 출간된다. 수많은 ‘자청 챌린저’들이 기다려온 책이자, 독자들의 인생을 송두리째 바꿔줄 문제작이다. ‘연봉 10억 무자본 창업가’로 유명해진 그는 2020년, 단 20개의 영상으로 10만 구독자를 넘어서며 화제를 모았으나 곧장 미련 없이 유튜브를 그만뒀다. 이후 본업인 온라인 마케팅 비즈니스를 비롯해 다방면으로 사업을 확장하고 있다.
이 책에는 가난한 인생에서 벗어나 경제적 자유와 행복을 얻은 저자 자청이 깨달은 인생 레벨업 치트키가 빼곡히 담겨 있다. 10대 때의 그는 외모, 돈, 공부, 그 어떤 것에서도 최하위였다. 그러던 스무 살 무렵, ‘인생에도 게임처럼 공략집이 있다’는 사실을 깨닫고 삶이 180도 바뀌기 시작했다. 200여 권의 책을 독파하며 얻은 인생의 치트키들을 활용해 창업에 성공했다.

‘부자는 다른 세상 사람들이야. 우리 집 꼴을 봐’, ‘인서울 대학에 가는 건 천재들이나 하는 거야’, ‘내가 월 300 이상 버는 날은 영원히 없겠지’… 인생의 밑바닥에서 힘든 친구들은 비슷한 심정일 거라 생각한다. 하지만 지금 내 정체성은 완전히 다르다. 나는 평생에 걸쳐 정체성을 인위적으로 바꿔왔기 때문이다.
20대에 책을 읽게 된 게 그 시작이었고, 그 뒤로도 끊임없이 내 머릿속 소프트웨어를 새로 깔고 있다. 이렇게 정체성을 먼저 바꾸면 변화가 쉽게 만들어진다. 반면 정체성을 바꿀 수 있는 기회를 놓치면 계속 순리자로 살게 된다. 나는 책이라는 형태로 다가온 행운을 꼭 잡고 놓지 않았다. 그 책들은 패배주의에 사로잡힌 내 머릿속에 새로운 소프트웨어를 깔아주는 설치 가이드였다. 그때 내 발밑에 깔린 철로를 보게 되었고, 절망으로 가는 전철에서 내릴 수 있었다. 그리고 나만의 내비게이션을 달고 인생의 지름길을, 부의 추월차선을 찾아 나섰다. 모두가 머릿속에 새 소프트웨어를 깐 덕분이었다! _ 본문 중에서

그가 하는 대부분의 비즈니스 모델은 ‘초보가 되어, 왕초보를 가르치는 것’이다. 어느 분야든 저렴한 가격에 도움을 받고 싶은 왕초보의 수요는 분명히 존재한다. 이때 도와주는 사람은 초보여도 상관없다는 점에 착안해 여러 컨설팅 비즈니스를 설계했다. 그는 무료 홈페이지 제작 플랫폼을 통해 하루 만에 홈페이지를 제작하고, 네이버 블로그 등 SNS 채널을 통해 무료로 마케팅을 했다. 투자비용 자체가 들어가지 않는 ‘무자본 창업’ 형태였다. ‘라이프해커 자청’이라는 캐릭터와 ‘무자본 창업’이라는 개념은 사람들의 고정관념을 깨는 시그널이 됐다.
자청이 찾아낸 ‘역행자의 7단계 모델’을 통해, 부와 행복을 갈망하는 독자들은 저자가 겪은 10년 동안의 시행착오를 단 3년으로 줄일 수 있다. 못 믿겠는가? 불안과 의심을 버리고, 저자와 함께 ‘인생의 추월차선’을 타러 가보자."
2,작별인사,"<작별인사> 누구도 도와줄 수 없는 상황, 혼자 헤쳐나가야 한다
지켜야 할 약속, 붙잡고 싶은 온기
김영하가 『살인자의 기억법』 이후 9 년 만에 내놓는 장편소설 『작별인사』는 그리 멀지 않은 미래를 배경으로, 별안간 삶이 송두리째 뒤흔들린 한 소년의 여정을 좇는다. 유명한 IT 기업의 연구원인 아버지와 쾌적하고 평화롭게 살아가던 철이는 어느날 갑자기 수용소로 끌려가 난생처음 날것의 감정으로 가득한 혼돈의 세계에 맞닥뜨리게 되면서 정신적, 신체적 위기에 직면한다. 동시에 자신처럼 사회에서 배제된 자들을 만나 처음으로 생생한 소속감을 느끼고 따뜻한 우정도 싹틔운다. 철이는 그들과 함께 수용소를 탈출하여 집으로 돌아가기 위해 길을 떠나지만 그 여정에는 피할 수 없는 질문이 기다리고 있다.

세계보건기구 WHO가 팬데믹을 선언한 지 2년이 지나서야 작가는 『작별인사』의 개작을 마쳤다. 420매 분량이던 원고는 약 800매로 늘었고, 주제도 완전히 달라졌다. ‘인간을 인간으로 만드는 것은 무엇인가?’, ‘인간과 인간이 아닌 존재들을 가르는 경계는 어디인가’를 묻던 소설은 ‘삶이란 과연 계속될 가치가 있는 것인가?’, ‘세상에 만연한 고통을 어떻게 하면 줄일 수 있을 것인가’, ‘어쩔 수 없이 태어났다면 어떻게 살고 어떻게 죽어야 할 것인가’와 같은 질문을 던지는 이야기로 바뀌었다. 팬데믹이 개작에 영향을 주었을 수도 있고, 원래 『작별인사』의 구상에 담긴 어떤 맹아가 오랜 개작을 거치며 발아했는지도 모른다. 그것에 대해 작가는 이렇게 말하고 있다.

마치 제목이 어떤 마력이 있어서 나로 하여금 자기에게 어울리는 이야기로 다시 쓰도록 한 것 같은 느낌이다. 탈고를 하고 얼마 지나지 않아 원고를 다시 읽어보았다. 이제야 비로소 애초에 내가 쓰려고 했던 어떤 것이 제대로, 남김 없이 다 흘러나왔다는 생각이 들었다. _’작가의 말’에서

전면적인 수정을 통해 2022년의 『작별인사』는 2020년의 『작별인사』를 마치 시놉시스나 초고처럼 보이게 할 정도로 확연하게 달라졌다. 그리고 김영하의 이전 문학 세계와의 연결점들이 분명해졌다."
3,인플레이션에서 살아남기,"<인플레이션에서 살아남기> 

40년 만에 찾아온 인플레의 역습, 
당신의 자산이 무너지기 시작했다!

__200만 「삼프로TV」 김동환 강력 추천
__누적 조회 수 3000만 회, 독자가 선택한 경제 필독서
__글로벌 경제, Fed 전문가 ‘갓건영’의 미래 투자 전략

200만 구독자의 열렬한 사랑을 받는 「삼프로TV」는 경제 분야 1위 유튜브 채널이다. 내로라하는 TOP급 전문가들이 출연해 국내외 시황 등의 정보를 나누는데, 요즘처럼 금리가 뛰어오르고 환율이 고공행진 하는 등 혼란스러운 시장이 펼쳐질 때 독자들이 한마음 한뜻으로 찾는 사람이 있다. 바로 신한은행 WM그룹의 부부장, 오건영 저자다. 
‘글로벌 경제 1타 강사’로 불리는 오건영 저자의 또 다른 애칭은 ‘대한민국 최고의 Fed(연준) 전문가’다. 글로벌 시장의 폭주를 막아줄 유일한 파수꾼이 Fed이므로, 이들의 행보가 곧 문제를 해결해줄 실마리가 될 것이다. 오건영 저자의 해설을 들으며 그들의 과거 행적을 되짚어보면 경제는 앞으로 어떤 움직임을 보일지, 그런 환경에서 우리가 취해야 할 안전한 투자법은 무엇일지 저절로 감이 올 것이다. 
이 책의 하이라이트는 단연 2022년 최신 버전의 ‘부의 시나리오’다. 경제 현상을 4가지 상황으로 나누고, 현재 우리는 어디에 위치하는지 살펴보는 것은 물론, 앞으로는 어떤 방향으로 흘러갈지 예측해보고, 이것을 나의 투자 포트폴리오에 연계하는 법을 알아본다. 2021년의 투자 환경과는 무엇이 달라졌는지 짚어보고, 현재를 기점으로 가장 유력한 2가지 미래 시나리오도 제시한다. 달라진 미국 Fed의 태도, 새롭게 터지는 러시아-우크라이나 전쟁의 갈등 심화 등 전혀 예상할 수 없었던 요소들은 어떤 시각으로 바라봐야 하는지, 그 팁도 가져갈 수 있다."
4,변화하는 세계 질서,"<변화하는 세계 질서> 

《원칙 Principles: Life & Work》으로 전 세계의 사랑은 물론, 국내 독자들의 사랑을 한 몸에 받았던 레이 달리오가 새로운 책으로 돌아왔다. 《원칙》이 그의 인생과 회사 경영에 대한 원칙을 밝힌 책이라면, 이번 책에서는 지난 500년간 주요 국가들의 경제적, 정치적, 역사적 패턴을 파악해 전 세계가 앞으로 어떻게 달라질지를 밝히고, 우리가 어떻게 대응해야 할지를 알려준다.

그의 새로운 책《변화하는 세계 질서》는 끊임없이 변화하는 세계 질서에 대처하기 위한 레이 달리오만의 원칙들을 담았다. 최근 올라온 《변화하는 세계 질서》를 요약한 유튜브 영상은 조회수 1,219만 회를 넘기며 많은 독자들의 관심을 증명했다."
5,피스타운,"<피스타운> -“여긴 너무 비현실적이야, 그렇지 않아?”
-뭐든지 이룰 수 있는 천국과 같은 공간, 그 뒤에 가려진 진실
-아름다운 이름 뒤에 숨겨진 거대한 재난이 밝혀진다!

 뒤로는 숲, 앞으로는 절벽과 바다로 둘러싸인 한적한 바닷가의 마을인 ‘피스타운’. 세상과 완전히 고립된 듯한 이곳에서, ‘수연’은 편안하지만 무료한 삶을 이어가고 있다. 가족과 애인의 방문을 기다리며 지내는 수연에게, 타운의 입주민 중 한 사람이 타운은 너무 이상하다며 의문을 제기한다. 그리고 얼마 지나지 않아, 기이한 상황과 생각들이 수연을 잠식한다. 안락하고 안전한 ‘피스타운’의 진실은 과연 무엇일까?"
6,악마의 계약서는 만기 되지 않는다,"<악마의 계약서는 만기 되지 않는다> 

제1회 K-스토리 공모전 대상 수상작! 
350:1의 경쟁률을 뚫고 선정된 단 하나의 작품

곧 허물어져도 이상할 것 없는 주택, 세입자는 단 두 명. 어느 날, 집주인인 할머니는 악마에게 전세 임대차계약을 맺고, 그날부터 방은 온갖 지옥의 형태로 나타난다. 서주는 지옥의 관리자라 칭하는 악마와 만나게 된다. 이런 상황이 놀랍기만 한 서주와는 달리 악마는 서주에게 조금씩 호감을 표현하고, 하루하루를 버티듯 살아가는 서주는 모든 상황이 혼란스럽기만 하다. 
그러던 중, 집 주변을 서성이는 의문의 그림자, 서주의 아르바이트 가게에 들이닥친 남자, 어느 날 집안에 들어온 의문의 사람들 그리고 갑작스럽게 일어난 할머니의 이상 증세. 과연 서주는 이 상황들을 어떻게 헤쳐나갈 것인가. 그리고 악마와의 동거는 언제까지 계속될 것인가. 
《악마의 계약서는 만기 되지 않는다》는 악마에게 집을 세놓는다는 독특한 설정을 기반으로 ‘그 집’을 둘러싸고 벌어지는 사건과 사람들의 이야기를 담은 악마와 인간의 미스터리 로맨스 판타지다. 지옥이라는 주제와 상반된 밝은 글의 분위기, 지루할 틈 없는 전개와 작가만의 유쾌한 문체 덕에 순식간에 마지막 장을 덮게 될 것이다.

이 작품은 《달러구트 꿈 백화점》과 같이 재능 있는 작가들의 작품이 세계로 뻗어 나가기를 응원하며 쌤앤파커스와 리디북스가 공동으로 주최한 “제1회 K-스토리 공모전”의 대상 수상작이다. 350대 1의 경쟁률을 뚫고 선정된 《악마의 계약서는 만기 되지 않는다》는 장면 장면이 머릿속에 그려질 만큼 캐릭터가 개성 있고 생활감 넘치는 생생한 표현이 매력적인 작품으로 바로 영상로 진행되어도 손색이 없을 만큼 완성도 높은 작품이다. 잘 구성된 캐릭터 간의 케미와 독자의 예측을 1도씩 빗겨나가는 전개가 몰입도를 높이며, 마지막까지 독자들에게 즐거움을 선사한다는 심사평과 함께 100여 명의 독자 심사위원 및 내외부 심사위원들에게 높은 점수를 받으며 만장일치로 대상으로 선정됐다."
7,불편한 편의점,"<불편한 편의점> 불편한데 자꾸 가고 싶은 편의점이 있다! 
힘들게 살아낸 오늘을 위로하는 편의점의 밤
정체불명의 알바로부터 시작된 웃음과 감동의 나비효과
『망원동 브라더스』 김호연의 ‘동네 이야기’ 시즌 2

원 플러스 원의 기쁨, 삼각김밥 모양의 슬픔, 만 원에 네 번의 폭소가 터지는 곳!
힘겨운 시대를 살아가는 우리들에게 다가온 조금 특별한 편의점 이야기 

2013년 세계문학상 우수상 수상작 『망원동 브라더스』로 데뷔한 후 일상적 현실을 위트 있게 그린 경쾌한 작품과 인간의 내밀한 욕망을 기발한 상상력으로 풀어낸 스릴러 장르를 오가며 독자적인 작품 세계를 쌓아올린 작가 김호연. 그의 다섯 번째 장편소설 『불편한 편의점』이 나무옆의자에서 출간되었다. 『불편한 편의점』은 청파동 골목 모퉁이에 자리 잡은 작은 편의점을 무대로 힘겨운 시대를 살아가는 우리 이웃들의 삶의 속내와 희로애락을 따뜻하고 유머러스하게 담아낸 작품이다. 『망원동 브라더스』에서 망원동이라는 공간의 체험적 지리지를 잘 활용해 유쾌한 재미와 공감을 이끌어냈듯 이번에는 서울의 오래된 동네 청파동에 대한 공감각을 생생하게 포착해 또 하나의 흥미진진한 ‘동네 이야기’를 탄생시켰다. 
서울역에서 노숙인 생활을 하던 독고라는 남자가 어느 날 70대 여성의 지갑을 찾아준 인연으로 그녀가 운영하는 편의점에서 야간 알바를 하면서 이야기가 시작된다. 덩치가 곰 같은 이 사내는 알코올성 치매로 과거를 기억하지 못하는 데다 말도 어눌하고 행동도 굼떠 과연 손님을 제대로 상대할 수 있을까 의구심을 갖게 하는데 웬걸, 의외로 그는 일을 꽤 잘해낼 뿐 아니라 주변 사람들을 묘하게 사로잡으면서 편의점의 밤을 지키는 든든한 일꾼이 되어간다. 
현실감 넘치는 캐릭터와 그들 간의 상호작용을 점입가경으로 형상화하는 데 일가견이 있는 작가의 작품답게 이 소설에서도 독특한 개성과 사연을 지닌 인물들이 차례로 등장해 서로 티격태격하며 별난 관계를 형성해간다. 고등학교에서 역사를 가르치다 정년퇴임하여 매사에 교사 본능이 발동하는 편의점 사장 염 여사를 필두로 20대 취준생 알바 시현, 50대 생계형 알바 오 여사, 매일 밤 야외 테이블에서 참참참(참깨라면, 참치김밥, 참이슬) 세트로 혼술을 하며 하루의 스트레스를 푸는 회사원 경만, 마지막이라는 각오로 청파동에 글을 쓰러 들어온 30대 희곡작가 인경, 호시탐탐 편의점을 팔아치울 기회를 엿보는 염 여사의 아들 민식, 민식의 의뢰를 받아 독고의 뒤를 캐는 사설탐정 곽이 그들이다. 제각기 녹록지 않은 인생의 무게와 현실적 문제를 안고 있는 이들은 각자의 시선으로 독고를 관찰하는데, 그 과정에서 발생하는 오해와 대립, 충돌과 반전, 이해와 공감은 자주 폭소를 자아내고 어느 순간 울컥 눈시울이 붉어지게 한다. 그렇게 골목길의 작은 편의점은 불편하기 짝이 없는 곳이었다가 고단한 삶을 위로하고 웃음을 나누는 특별한 공간이 된다."
8,내가 틀릴 수도 있습니다,"<내가 틀릴 수도 있습니다> 

스웨덴 베스트셀러 1위
출간 즉시 25개국 수출
스웨덴 30만 부 판매
달라이라마, 도종환 추천사

때 이른 성공을 버리고 떠난 17년간의 숲속 수행,
그리고 삶과 죽음의 경계에서 깨달은 것들
“불안의 폭풍우 속에 있는 당신을 구원할 책.”

2022년 1월, 한 사람이 세상을 떠났다. ‘망설임도, 두려움도 없이 떠납니다’라는 한마디를 남기고. 그러자 스웨덴 전역에 거대한 애도의 물결이 일었다. 비욘 나티코 린데블라드. 수많은 스웨덴인들을 불안에서 끌어내어 평화와 고요로 이끌었던 그는 2018년 루게릭병에 진단받은 후에도 유쾌하고 따뜻한 지혜를 전하며 살아갔다. 『내가 틀릴 수도 있습니다』는 20대에 눈부신 사회적 성공을 거뒀지만 모든 것을 버리고 숲속으로 17년간 수행을 떠났던 저자의 여정과 깨달음, 그리고 마지막을 담은 책으로 수많은 독자들의 삶에 감동과 용기를 전해주었다."
9,최재천의 공부,"<최재천의 공부> 시인의 마음으로 생태계를 탐구해온 최재천 교수
삶을 위한 공부를 말하다

『최재천의 공부』는 동물과 인간을 깊이 관찰해온 최재천 교수가 10여 년 전부터 꼭 쓰고 싶었던 책으로, 지금 이 시대에 꼭 필요한 공부에 관한 생각을 총망라한다. 인생 전반에 걸쳐 공부가 왜 중요하고 우리에게 어떤 영향을 미치는지 살펴보고, 그동안 제대로 논의된 적 없는 대한민국 교육의 현실을 톺아보고 미래상을 그려보며 청사진을 제시한다. 하버드대학교 시절 몸소 체득한 경험, 서울대학교에서 이화여자대학교 교수 시절까지 있었던 강의, 자연과학과 인문학을 넘나드는 통섭적 시야 등이 이 책의 바탕이 되었다.

수많은 청소년과 부모, 청년과 중년, 정부와 기업이 자연과학계의 대가인 최재천 교수에게 물었다. “어떻게 좋아하는 일을 찾을 수 있나요?” “많은 일을 하면서 느긋하게 사는 비결이 있나요?” “아이를 잘 키우는 묘책이 있나요?” “전 지구적 재난 앞에서 우리는 어떻게 살아야 할까요?” “어떤 인재를 뽑고 길러야 할까요?” 인생의 길, 교육의 길, 정책의 길, 경영의 길, 각자가 찾고자 하는 길의 갈래는 다양하지만 한 가지 공통점이 있었다. 사는 길을 찾고 싶어서 배우고 싶다는 것.

“벽돌을 쌓듯 빈틈없이 공부하지 않아도 됩니다” “1분 1초를 다투지 않고 마감 1주일에 앞서 해치웁니다” “독서는 취미가 아니라 일이어야 합니다” “스승은 제자의 발을 밟지 말아야 합니다” “동물스러운 교육을 합시다” “아이들에게 삶을 돌려줍시다” “토론으로 무엇이 옳은가를 찾아갑시다” “마음 가는 대로 해도 됩니다!” 이번 책에서 최재천 교수는 우리가 궁금했던 질문들에 때로는 부드러운 목소리로, 때로는 단단한 직설화법으로 말을 건다. 생각의 창을 열어주고 배움의 방향을 넓혀주는 지도를 펼쳐보인다."
10,개정판 | 하얀 늑대들,"<개정판 | 하얀 늑대들> 

오랜 기간 사랑 받아온 한국의 대표적인 판타지 소설
윤현승 작가의 대표작 <하얀 늑대들> 최신 개정판!

전쟁터에서 패잔병이 된 농부 카셀은 우연히 아란티아의 보검을 주워, 
그 주인인 하얀 늑대들을 찾아 모험을 떠난다.  
하지만 막상 만난 하얀 늑대들은 거꾸로 카셀에게 캡틴을 하라고 떠넘기는데…….

농부에서 패잔병으로, 패잔병에서 캡틴으로, 
살아남기 위한 거짓말에서 친구들을 지키려는 희생으로, 
지금 카셀의 싸움이 시작된다!"
11,잠시 동안 빛은 이곳에,"<잠시 동안 빛은 이곳에> 연애세포 따위 멸종된 지 오래,
오로지 레벨업과 아이템 수집만이 살길,  
그런 내가 갑자기 ‘결혼 당했다’?!

예측불가한 우리 관계
비즈니스일까 사랑일까

로판의 클리셰를 모두 깨버리는
로판에 마음을 빼앗기다


크로는 유독 파란색에 집착하는 길드원 루키가 자꾸만 눈에 밟힌다. 파란색이 예쁘잖아요. 레벨에 맞지 않는 파란색 저급 아이템만 모아서 사용하는 루키의 반응은 늘 똑같다. 크로는 그런 루키가 신경 쓰여 이것저것 챙기고 도와준다. 그럴 때마다 이모티콘 붙여 가며 감사를 표하는 루키의 모습이 귀엽기도 하다. 어느 날 영롱하고 새파란 빛을 뿜어내는 희귀템 ‘축복의 마음’이 출시되는데, 문제는 유저끼리 ‘결혼’해야만 그걸 얻을 수 있다. ‘축복의 마음’이 뽐내는 파란빛에 흥분한 루키가 크로에게 제안한다. …저와 결혼해 주시겠어요? 크로는 당황스럽다. 아이템 때문에 다짜고짜 청혼이라니, 정말 생각이 있는 걸까? 근데 나는 왜 이렇게 목이 타지? 그때부터 크로와 루키의 예측불가 결혼생활이 시작된다."
12,심해어,"<심해어> <심해어> / 양원영

-믿을 수 없는 ‘그날’의 진실, 이 마을엔 무언가 이상한 게 있다!
-언니, 아저씨 머리가 여전히 그걸로 보여? 생선 대가리 말야
-이 모든 이야기가 진짜라면, 믿어지세요?

조용한 어촌마을에서 벌어진 의문의 사건. 사라진 한 여성과 그의 남편에 대한 사건을 해결하기 위해 조사를 시작한 형사는, 여성의 동생으로부터 이상한 말을 듣는다. 사건의 배후는 마을을 지키는 ‘터주신’ 때문이라고 설명하는 동생. 지금부터 하는 이야기를 믿을지 믿지 않을지는 판단에 맡긴다는 그녀는, 조심스럽게 사건의 진상을 털어놓는다. 숨겨져 있던 ‘그날’의 일이 차츰 드러나고, 곧 마을 전체를 뒤덮고 있던 묘하고 기이하고 도무지 믿을 수 없는 이야기 또한, 알려지게 되는데."
13,"사이후이, 싸이파이","<사이후이, 싸이파이> 천재 지략가 제갈공명의 마지막 밤,
그날 그에겐 무슨 일이 있었나?

역사에 기록되지 않은 공명의 최후를
색다르게 그려 낸 기상천외한 상상력!

공명의 특급 비책이 밝혀지는 순간
삼국지의 역사는 다시 기록된다!


건흥 12년(234) 가을 오장원. 선주 유비의 유지를 이어받은 제갈공명은 4차 북벌을 위해 오장원에 진을 친다. 위군에는 필생의 라이벌 사마의가 버티고 있다. 호로곡의 화공으로 승리가 눈앞에 왔다고 여겼는데 하늘이 무심하게도 소나기가 내리친다. 일은 사람이 꾸미지만 이루는 건 하늘이라 했던가. 공명은 자신의 마지막을 직감하고 최후의 철군을 준비한다. 그때까진 아무도 알지 못했다, 공명에겐 세상을 뒤엎을 비책이 있다는 것을. ‘죽은 공명이 산 중달을 도망치게 한다.’ 이 말은 이제 새로 쓰여야 한다."
